patch_id,s1_name,split,tile,row,col,labels
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_63_53,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_63_53,test,T34UDG,63,53,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_63_54,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_63_54,test,T34UDG,63,54,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_63_55,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_63_55,test,T34UDG,63,55,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_63_56,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_63_56,test,T34UDG,63,56,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_63_57,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_63_57,test,T34UDG,63,57,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_64_48,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_64_48,test,T34UDG,64,48,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_64_49,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_64_49,test,T34UDG,64,49,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_64_50,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_64_50,test,T34UDG,64,50,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_64_51,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_64_51,test,T34UDG,64,51,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_64_52,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_64_52,test,T34UDG,64,52,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_64_53,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_64_53,test,T34UDG,64,53,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_64_54,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_64_54,test,T34UDG,64,54,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_64_55,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_64_55,test,T34UDG,64,55,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_64_56,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_64_56,test,T34UDG,64,56,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_64_57,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_64_57,test,T34UDG,64,57,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_00,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_65_0,train,T34UDG,65,0,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_01,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_65_1,train,T34UDG,65,1,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_02,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_65_2,train,T34UDG,65,2,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_03,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_65_3,train,T34UDG,65,3,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_04,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_65_4,train,T34UDG,65,4,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_05,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_65_5,train,T34UDG,65,5,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_06,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_65_6,train,T34UDG,65,6,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_07,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_65_7,train,T34UDG,65,7,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_45,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_45,test,T34UDG,65,45,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_46,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_46,test,T34UDG,65,46,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_47,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_47,test,T34UDG,65,47,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_48,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_48,test,T34UDG,65,48,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_49,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_49,test,T34UDG,65,49,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_50,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_50,test,T34UDG,65,50,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_51,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_51,test,T34UDG,65,51,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_52,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_52,test,T34UDG,65,52,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_53,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_53,test,T34UDG,65,53,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_54,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_54,test,T34UDG,65,54,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_55,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_55,test,T34UDG,65,55,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_56,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_56,test,T34UDG,65,56,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_65_57,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_65_57,test,T34UDG,65,57,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_00,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_0,train,T34UDG,66,0,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_01,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_1,train,T34UDG,66,1,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_02,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_2,train,T34UDG,66,2,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_03,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_3,train,T34UDG,66,3,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_04,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_4,train,T34UDG,66,4,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_05,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_5,train,T34UDG,66,5,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_06,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_6,train,T34UDG,66,6,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_07,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_7,train,T34UDG,66,7,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_08,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_8,train,T34UDG,66,8,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_09,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_9,train,T34UDG,66,9,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_10,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_10,train,T34UDG,66,10,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_11,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_11,train,T34UDG,66,11,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_12,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_12,train,T34UDG,66,12,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_13,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_13,validation,T34UDG,66,13,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_14,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_14,validation,T34UDG,66,14,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_15,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_15,validation,T34UDG,66,15,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_16,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_16,validation,T34UDG,66,16,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_17,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_17,validation,T34UDG,66,17,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_42,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_66_42,test,T34UDG,66,42,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_43,S1B_IW_GRDH_1SDV_20170722T162727_34UDG_66_43,test,T34UDG,66,43,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_44,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_44,test,T34UDG,66,44,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_45,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_45,test,T34UDG,66,45,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_46,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_46,test,T34UDG,66,46,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_47,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_47,test,T34UDG,66,47,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_48,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_48,test,T34UDG,66,48,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_49,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_49,test,T34UDG,66,49,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_50,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_50,test,T34UDG,66,50,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_51,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_51,test,T34UDG,66,51,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_52,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_52,test,T34UDG,66,52,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_53,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_53,test,T34UDG,66,53,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_54,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_54,test,T34UDG,66,54,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_55,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_55,test,T34UDG,66,55,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_56,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_56,test,T34UDG,66,56,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_57,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_57,test,T34UDG,66,57,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_66_58,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_66_58,test,T34UDG,66,58,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_00,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_0,train,T34UDG,67,0,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_01,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_1,train,T34UDG,67,1,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_02,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_2,train,T34UDG,67,2,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_03,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_3,train,T34UDG,67,3,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_04,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_4,train,T34UDG,67,4,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_05,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_5,train,T34UDG,67,5,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_06,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_6,train,T34UDG,67,6,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_07,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_7,train,T34UDG,67,7,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_08,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_8,train,T34UDG,67,8,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_09,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_9,train,T34UDG,67,9,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_10,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_10,train,T34UDG,67,10,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_11,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_11,train,T34UDG,67,11,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_12,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_12,train,T34UDG,67,12,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_13,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_13,validation,T34UDG,67,13,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_14,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_14,validation,T34UDG,67,14,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_15,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_15,validation,T34UDG,67,15,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_16,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_16,validation,T34UDG,67,16,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_17,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_17,validation,T34UDG,67,17,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_18,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_18,validation,T34UDG,67,18,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_19,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_19,validation,T34UDG,67,19,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_20,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_20,validation,T34UDG,67,20,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_21,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_21,validation,T34UDG,67,21,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_22,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_22,validation,T34UDG,67,22,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_23,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_23,test,T34UDG,67,23,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_24,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_24,test,T34UDG,67,24,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_37,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_37,test,T34UDG,67,37,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_38,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_38,test,T34UDG,67,38,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_39,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_39,test,T34UDG,67,39,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_40,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_40,test,T34UDG,67,40,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_41,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_41,test,T34UDG,67,41,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_42,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_42,test,T34UDG,67,42,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_43,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_67_43,test,T34UDG,67,43,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_44,S1B_IW_GRDH_1SDV_20170722T162727_34UDG_67_44,test,T34UDG,67,44,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_45,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_45,test,T34UDG,67,45,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_46,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_46,test,T34UDG,67,46,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_47,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_47,test,T34UDG,67,47,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_48,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_48,test,T34UDG,67,48,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_49,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_49,test,T34UDG,67,49,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_50,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_50,test,T34UDG,67,50,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_51,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_51,test,T34UDG,67,51,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_52,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_52,test,T34UDG,67,52,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_53,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_53,test,T34UDG,67,53,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_54,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_54,test,T34UDG,67,54,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_55,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_55,test,T34UDG,67,55,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_56,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_56,test,T34UDG,67,56,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_57,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_57,test,T34UDG,67,57,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_67_58,S1B_IW_GRDH_1SDV_20170719T045054_34UDG_67_58,test,T34UDG,67,58,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_00,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_0,train,T34UDG,68,0,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_01,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_1,train,T34UDG,68,1,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_02,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_2,train,T34UDG,68,2,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_03,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_3,train,T34UDG,68,3,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_04,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_4,train,T34UDG,68,4,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_05,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_5,train,T34UDG,68,5,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_06,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_6,train,T34UDG,68,6,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_07,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_7,train,T34UDG,68,7,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_08,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_8,train,T34UDG,68,8,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_09,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_9,train,T34UDG,68,9,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_10,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_10,train,T34UDG,68,10,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_11,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_11,train,T34UDG,68,11,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_12,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_12,train,T34UDG,68,12,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_13,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_13,validation,T34UDG,68,13,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_14,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_14,validation,T34UDG,68,14,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_15,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_15,validation,T34UDG,68,15,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_16,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_16,validation,T34UDG,68,16,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_17,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_17,validation,T34UDG,68,17,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_18,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_18,validation,T34UDG,68,18,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_19,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_19,validation,T34UDG,68,19,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_20,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_20,validation,T34UDG,68,20,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_21,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_21,validation,T34UDG,68,21,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_22,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_22,validation,T34UDG,68,22,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_23,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_23,test,T34UDG,68,23,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_24,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_24,test,T34UDG,68,24,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_25,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_25,test,T34UDG,68,25,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_26,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_26,test,T34UDG,68,26,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_27,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_27,test,T34UDG,68,27,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_28,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_28,test,T34UDG,68,28,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_29,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_29,test,T34UDG,68,29,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_30,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_30,test,T34UDG,68,30,Marine waters
S2A_MSIL2A_20170720T100031_N9999_R122_T34UDG_68_31,S1B_IW_GRDH_1SDV_20170719T045029_34UDG_68_31,test,T34UDG,68,31,Marine waters
